,Exp1,,Exp2a
model0,"-8.935,73",,"-3.829,99"
model1,"-8.957,34",,"-3.832,59"
model2,"-8.933,60",,"-3.828,40"
model3,"-8.958,22",,"-3.831,68"
model4,"-8.965,38",,"-3.838,10"
model5,"-8.938,34",,"-3.830,61"
model6,"-8.963,21",,"-3.847,31"
model7,"-8.978,32",,"-3.838,35"
model8,"-8.937,36",,"-3.828,66"
model9,"-8.979,75",,"-3.845,48"
model10,"-8.957,75",,
model11,"-8.934,12",,
model12,"-8.958,58",,
model13,"-8.942,82",,
model14,"-8.940,08",,
model15,"-8.941,75",,
model16,"-8.957,85",,
model17,"-8.937,36",,
model18,"-8.962,12",,
