,subj_idx,Sc,SpAc,response
0,ppn1,1,Ac,10.8974358974
1,ppn1,1,Sp,18.2389937107
2,ppn1,2,Ac,7.05128205128
3,ppn1,2,Sp,20.7547169811
4,ppn1,3,Ac,10.8280254777
5,ppn1,3,Sp,18.3544303797
6,ppn10,1,Ac,2.51572327044
7,ppn10,1,Sp,8.80503144654
8,ppn10,2,Ac,3.77358490566
9,ppn10,2,Sp,5.66037735849
10,ppn10,3,Ac,4.375
11,ppn10,3,Sp,7.54716981132
12,ppn11,1,Ac,1.89873417722
13,ppn11,1,Sp,8.125
14,ppn11,2,Ac,1.25786163522
15,ppn11,2,Sp,8.80503144654
16,ppn11,3,Ac,2.5
17,ppn11,3,Sp,10.625
18,ppn12,1,Ac,8.125
19,ppn12,1,Sp,22.1518987342
20,ppn12,2,Ac,12.101910828
21,ppn12,2,Sp,18.2389937107
22,ppn12,3,Ac,20.3821656051
23,ppn12,3,Sp,22.641509434
24,ppn13,1,Ac,3.125
25,ppn13,1,Sp,21.25
26,ppn13,2,Ac,0.0
27,ppn13,2,Sp,16.25
28,ppn13,3,Ac,3.22580645161
29,ppn13,3,Sp,28.75
30,ppn14,1,Ac,8.125
31,ppn14,1,Sp,18.8679245283
32,ppn14,2,Ac,5.66037735849
33,ppn14,2,Sp,15.0943396226
34,ppn14,3,Ac,8.75
35,ppn14,3,Sp,17.5
36,ppn15,1,Ac,7.5
37,ppn15,1,Sp,8.86075949367
38,ppn15,2,Ac,1.88679245283
39,ppn15,2,Sp,10.0628930818
40,ppn15,3,Ac,5.03144654088
41,ppn15,3,Sp,8.86075949367
42,ppn16,1,Ac,2.51572327044
43,ppn16,1,Sp,6.875
44,ppn16,2,Ac,1.875
45,ppn16,2,Sp,3.75
46,ppn16,3,Ac,2.5
47,ppn16,3,Sp,8.75
48,ppn17,1,Ac,6.2893081761
49,ppn17,1,Sp,6.32911392405
50,ppn17,2,Ac,4.40251572327
51,ppn17,2,Sp,9.375
52,ppn17,3,Ac,8.86075949367
53,ppn17,3,Sp,9.49367088608
54,ppn18,1,Ac,3.125
55,ppn18,1,Sp,12.5
56,ppn18,2,Ac,4.375
57,ppn18,2,Sp,8.75
58,ppn18,3,Ac,10.0
59,ppn18,3,Sp,16.25
60,ppn19,1,Ac,10.0
61,ppn19,1,Sp,18.75
62,ppn19,2,Ac,2.5
63,ppn19,2,Sp,15.625
64,ppn19,3,Ac,8.17610062893
65,ppn19,3,Sp,22.641509434
66,ppn2,1,Ac,6.32911392405
67,ppn2,1,Sp,24.2038216561
68,ppn2,2,Ac,5.76923076923
69,ppn2,2,Sp,21.6560509554
70,ppn2,3,Ac,8.80503144654
71,ppn2,3,Sp,20.3821656051
72,ppn20,1,Ac,5.66037735849
73,ppn20,1,Sp,15.0
74,ppn20,2,Ac,6.875
75,ppn20,2,Sp,13.9240506329
76,ppn20,3,Ac,6.91823899371
77,ppn20,3,Sp,11.9496855346
78,ppn3,1,Ac,2.53164556962
79,ppn3,1,Sp,12.6582278481
80,ppn3,2,Ac,3.84615384615
81,ppn3,2,Sp,12.101910828
82,ppn3,3,Ac,5.22875816993
83,ppn3,3,Sp,10.0628930818
84,ppn5,1,Ac,1.875
85,ppn5,1,Sp,8.80503144654
86,ppn5,2,Ac,1.25
87,ppn5,2,Sp,6.875
88,ppn5,3,Ac,2.5
89,ppn5,3,Sp,6.91823899371
90,ppn6,1,Ac,6.25
91,ppn6,1,Sp,9.375
92,ppn6,2,Ac,6.25
93,ppn6,2,Sp,10.0
94,ppn6,3,Ac,7.5
95,ppn6,3,Sp,8.80503144654
96,ppn7,1,Ac,4.40251572327
97,ppn7,1,Sp,13.2911392405
98,ppn7,2,Ac,1.875
99,ppn7,2,Sp,8.125
100,ppn7,3,Ac,4.375
101,ppn7,3,Sp,13.75
102,ppn8,1,Ac,6.2893081761
103,ppn8,1,Sp,15.7232704403
104,ppn8,2,Ac,3.125
105,ppn8,2,Sp,13.8364779874
106,ppn8,3,Ac,8.125
107,ppn8,3,Sp,23.2704402516
108,ppn9,1,Ac,1.875
109,ppn9,1,Sp,6.875
110,ppn9,2,Ac,2.5
111,ppn9,2,Sp,8.125
112,ppn9,3,Ac,5.0
113,ppn9,3,Sp,13.125
